Contrast,A,B,Paired,Parametric,T,dof,tail,p-unc,p-corr,p-adjust,BF10,CLES,none
Group,2015_1,2016_1,False,True,-0.8740,182.9600,two-sided,0.3832,1.0000,bonf,0.227,0.5450,-0.1280
Group,2015_1,2017_1,False,True,-1.9840,165.9800,two-sided,0.0489,0.4888,bonf,1.015,0.6040,-0.3040
Group,2015_1,2018_1,False,True,0.1390,162.0500,two-sided,0.8893,1.0000,bonf,0.16,0.5210,0.0210
Group,2015_1,2019_1,False,True,-2.9930,146.9600,two-sided,0.0032,0.0324,bonf,9.926,0.6410,-0.4780
Group,2016_1,2017_1,False,True,-1.1810,169.5100,two-sided,0.2391,1.0000,bonf,0.311,0.5570,-0.1780
Group,2016_1,2018_1,False,True,1.1550,176.7000,two-sided,0.2498,1.0000,bonf,0.29,0.5040,0.1660
Group,2016_1,2019_1,False,True,-2.2410,147.6400,two-sided,0.0265,0.2652,bonf,1.681,0.6120,-0.3520
Group,2017_1,2018_1,False,True,2.3830,142.4100,two-sided,0.0185,0.1851,bonf,2.214,0.5720,0.3670
Group,2017_1,2019_1,False,True,-1.0590,148.5700,two-sided,0.2912,1.0000,bonf,0.291,0.5530,-0.1710
Group,2018_1,2019_1,False,True,-3.4750,119.2200,two-sided,0.0007,0.0071,bonf,39.403,0.6320,-0.5690
